iter	Passed	Remaining
0	8	2582
1	26	3931
2	30	3056
3	37	2775
4	40	2388
5	44	2199
6	51	2164
7	54	1997
8	63	2068
9	74	2167
10	89	2355
11	93	2235
12	98	2169
13	105	2158
14	110	2107
15	115	2042
16	146	2445
17	149	2345
18	165	2442
19	182	2555
20	188	2504
21	195	2466
22	200	2412
23	203	2338
24	231	2545
25	237	2501
26	240	2436
27	243	2365
28	252	2355
29	255	2295
30	258	2238
31	260	2184
32	263	2133
33	266	2087
34	270	2046
35	273	2002
36	277	1969
37	279	1929
38	282	1889
39	285	1856
40	288	1821
41	289	1780
42	291	1742
43	293	1706
44	295	1671
45	296	1639
46	298	1608
47	301	1582
48	303	1556
49	306	1534
50	308	1507
51	311	1486
52	315	1471
53	320	1458
54	323	1439
55	326	1422
56	331	1411
57	334	1395
58	337	1379
59	340	1361
60	342	1342
61	344	1321
62	345	1301
63	347	1282
64	349	1263
65	351	1246
66	353	1229
67	355	1212
68	359	1202
69	362	1191
70	365	1179
71	368	1168
72	372	1158
73	375	1147
74	379	1137
75	384	1133
76	389	1128
77	393	1119
78	396	1108
79	400	1100
80	403	1090
81	405	1077
82	408	1068
83	411	1057
84	415	1052
85	419	1044
86	423	1036
87	429	1034
88	435	1032
89	438	1023
90	441	1014
91	448	1013
92	451	1005
93	454	996
94	460	993
95	464	986
96	481	1007
97	523	1079
98	552	1121
99	559	1118
100	571	1125
101	588	1141
102	591	1130
103	594	1121
104	599	1114
105	602	1103
106	605	1092
107	608	1082
108	611	1072
109	615	1063
110	618	1053
111	622	1045
112	625	1035
113	629	1026
114	652	1048
115	657	1043
116	668	1044
117	671	1035
118	678	1031
119	681	1022
120	685	1013
121	694	1012
122	700	1007
123	707	1003
124	715	1001
125	718	992
126	724	987
127	730	981
128	736	976
129	739	967
130	742	958
131	747	951
132	760	954
133	763	946
134	767	938
135	771	929
136	776	923
137	779	915
138	783	907
139	788	901
140	790	891
141	794	883
142	805	884
143	809	877
144	812	868
145	815	860
146	821	854
147	824	846
148	827	839
149	830	830
150	835	824
151	860	837
152	863	829
153	867	822
154	871	814
155	873	806
156	876	798
157	878	789
158	880	781
159	883	773
160	887	766
161	889	757
162	891	749
163	895	742
164	900	736
165	903	728
166	904	720
167	906	712
168	908	704
169	912	697
170	914	689
171	916	681
172	918	673
173	920	666
174	921	658
175	923	650
176	930	646
177	934	640
178	936	632
179	938	625
180	941	618
181	959	622
182	961	614
183	963	607
184	965	600
185	968	593
186	970	586
187	973	580
188	975	573
189	978	566
190	980	559
191	983	552
192	985	546
193	992	542
194	998	537
195	1002	532
196	1007	526
197	1010	520
198	1019	517
199	1024	512
200	1026	505
201	1030	499
202	1034	494
203	1036	487
204	1038	481
205	1040	474
206	1042	468
207	1044	462
208	1050	457
209	1053	451
210	1069	451
211	1076	446
212	1082	442
213	1085	436
214	1087	430
215	1089	423
216	1091	417
217	1092	411
218	1094	404
219	1096	398
220	1099	392
221	1100	386
222	1102	380
223	1108	375
224	1110	370
225	1112	364
226	1114	358
227	1119	353
228	1123	348
229	1126	342
230	1131	338
231	1135	332
232	1139	327
233	1147	323
234	1154	319
235	1162	315
236	1166	310
237	1171	305
238	1175	300
239	1182	295
240	1188	290
241	1198	287
242	1201	281
243	1208	277
244	1211	271
245	1214	266
246	1217	261
247	1220	255
248	1223	250
249	1226	245
250	1229	240
251	1232	234
252	1235	229
253	1238	224
254	1258	222
255	1262	216
256	1272	212
257	1275	207
258	1278	202
259	1287	198
260	1290	192
261	1296	188
262	1299	182
263	1302	177
264	1305	172
265	1307	167
266	1309	161
267	1313	156
268	1318	151
269	1322	146
270	1325	141
271	1328	136
272	1343	132
273	1346	127
274	1350	122
275	1355	117
276	1358	112
277	1364	107
278	1367	102
279	1371	97
280	1376	93
281	1379	88
282	1385	83
283	1389	78
284	1393	73
285	1396	68
286	1399	63
287	1406	58
288	1409	53
289	1412	48
290	1415	43
291	1418	38
292	1421	33
293	1424	29
294	1426	24
295	1429	19
296	1432	14
297	1435	9
298	1438	4
299	1440	0
